Word,Rank,Frequency
the,1,9907
of,2,6986
and,3,5139
to,4,4433
in,5,2749
a,6,2193
our,7,2058
that,8,1726
we,9,1625
be,10,1460
is,11,1416
it,12,1367
for,13,1155
by,14,1066
which,15,1002
have,16,997
with,17,937
as,18,931
not,19,924
will,20,851
i,21,832
this,22,813
all,23,794
are,24,779
their,25,738
but,26,628
has,27,612
government,28,593
its,29,565
people,30,563
from,31,552
or,32,542
on,33,520
my,34,491
been,35,482
can,36,465
us,37,456
no,38,453
they,39,440
so,40,383
an,41,380
upon,42,369
--,43,363
who,44,361
must,45,346
at,46,341
may,47,334
great,48,331
states,49,329
world,50,329
them,51,327
should,52,323
those,53,317
shall,54,314
more,55,307
nation,56,302
country,57,302
if,58,286
every,59,285
these,60,278
any,61,276
was,62,268
other,63,256
peace,64,252
there,65,251
own,66,245
one,67,243
new,68,240
only,69,238
citizens,70,237
than,71,234
power,72,230
public,73,225
do,74,222
such,75,218
now,76,213
would,77,209
his,78,208
time,79,206
constitution,80,205
when,81,203
s,82,202
under,83,197
united,84,197
nations,85,194
america,86,192
union,87,188
me,88,186
freedom,89,183
free,90,179
you,91,178
war,92,175
most,93,172
what,94,166
national,95,154
made,96,151
let,97,149
fellow,98,148
american,99,147
men,100,144
good,101,143
were,102,139
without,103,138
spirit,104,138
well,105,137
rights,106,136
justice,107,134
law,108,134
years,109,134
make,110,133
life,111,133
had,112,130
laws,113,130
congress,114,129
before,115,127
never,116,125
into,117,123
best,118,120
each,119,119
just,120,117
liberty,121,116
duty,122,116
hope,123,115
work,124,113
interests,125,113
right,126,113
against,127,112
your,128,112
he,129,110
because,130,110
state,131,109
some,132,108
among,133,107
both,134,106
political,135,106
through,136,104
man,137,102
powers,138,101
many,139,101
foreign,140,101
know,141,100
much,142,99
god,143,98
policy,144,97
executive,145,97
history,146,96
long,147,96
first,148,95
between,149,95
part,150,95
out,151,93
progress,152,93
principles,153,93
human,154,93
within,155,93
duties,156,92
today,157,91
administration,158,90
whole,159,90
system,160,89
support,161,89
future,162,89
day,163,88
common,164,87
confidence,165,87
faith,166,87
present,167,86
far,168,86
ever,169,86
nor,170,86
over,171,86
less,172,85
too,173,85
purpose,174,84
service,175,84
same,176,83
president,177,82
necessary,178,82
yet,179,81
then,180,79
force,181,79
party,182,79
ourselves,183,78
high,184,78
way,185,78
interest,186,76
institutions,187,76
old,188,76
while,189,76
still,190,75
others,191,75
come,192,75
better,193,75
general,194,75
always,195,75
here,196,74
need,197,73
office,198,73
strength,199,72
itself,200,72
together,201,72
being,202,72
federal,203,71
equal,204,71
means,205,70
believe,206,70
themselves,207,70
place,208,70
".""",209,69
land,210,69
home,211,69
even,212,69
could,213,69
prosperity,214,68
things,215,68
might,216,68
where,217,68
secure,218,67
give,219,67
order,220,66
given,221,66
change,222,66
find,223,66
americans,224,66
action,225,66
whose,226,66
republic,227,66
full,228,65
am,229,65
proper,230,64
take,231,63
commerce,232,63
found,233,63
business,234,63
responsibility,235,63
important,236,63
up,237,63
called,238,62
self,239,62
subject,240,62
again,241,62
security,242,62
revenue,243,61
