,winner,winner_score
0,Abahani Limited,172.0
1,Abbottabad Falcons,139.45
2,Abbottabad Region,182.67
3,Abbottabad Rhinos,165.0
4,Adelaide Strikers,164.0
5,Afghanistan,150.73
6,Andhra,130.69
7,Antigua,146.0
8,Antigua Hawksbills,126.0
9,Antigua and Barbuda,153.0
10,Assam,139.0
11,Auckland,160.32
12,Australia,159.48
13,Australia A,174.0
14,Azad Jammu & Kashmir Region,123.0
15,Badureliya Sports Club,158.79
16,Bahawalpur Region,154.6
17,Bahawalpur Stags,149.17
18,Baluchistan,217.0
19,Bangladesh,147.9
20,Bangladesh A,160.4
21,Bangladesh Cricket Board XI,85.5
22,Bangladesh XI,142.5
23,Barbados,122.29
24,Barbados Tridents,152.1
25,Barisal Bulls,147.85
26,Barisal Burners,154.73
27,Barisal Division,118.0
28,Baroda,147.38
29,Basnahira,141.67
30,Basnahira Cricket Dundee,129.0
31,Basnahira Greens,129.5
32,Basnahira North,135.4
33,Basnahira South,161.56
34,Bengal,151.9
35,Bermuda,149.5
36,Bloomfield Cricket and Athletic Club,126.27
37,Boland,145.78
38,Border,135.0
39,Brisbane Heat,170.41
40,Burgher Recreation Club,130.09
41,Canada,132.07
42,Canterbury,158.22
43,Cape Cobras,156.37
44,Cayman Islands,175.0
45,Central Districts,165.14
46,Centrals,117.0
47,Chennai Super Kings,167.81
48,Chilaw Marians Cricket Club,149.37
49,Chittagong Division,95.0
50,Chittagong Kings,152.92
51,Chittagong Vikings,163.12
52,Colombo Commandos,165.25
53,Colombo Cricket Club,163.09
54,Colts Cricket Club,159.59
55,Combined Campuses and Colleges,126.67
56,Combined Provinces,156.0
57,Comilla Victorians,138.86
58,Deccan Chargers,158.55
59,Delhi,145.85
60,Delhi Daredevils,155.72
61,Denmark,117.0
62,Dera Murad Jamali Ibexes,88.0
63,Derbyshire,150.56
64,Desert Vipers,139.67
65,Dhaka Division,130.0
66,Dhaka Dynamites,148.79
67,Dhaka Gladiators,167.94
68,Dhaka Metropolis,168.5
69,Dolphins,157.67
70,Dominica,139.0
71,Durham,154.52
72,Duronto Rajshahi,149.58
73,Eagles,150.75
74,Eastern Cape,133.33
75,Eastern Province,141.39
76,Easterns,148.33
77,Easterns (Zimbabwe),159.5
78,England,161.11
79,England Lions,147.75
80,Essex,163.05
81,FATA Cheetas,140.0
82,FATA Region,112.0
83,Faisalabad Region,179.0
84,Faisalabad Wolves,149.67
85,Federally Administered Tribal Areas,139.5
86,Free State,145.7
87,Galle Cricket Club,109.0
88,Galle Guardians,145.33
89,Gauteng,139.45
90,Glamorgan,157.89
91,Gloucestershire,152.39
92,Goa,143.93
93,Grenada,127.67
94,Griqualand West,142.5
95,Gujarat,152.09
96,Gujarat Lions,165.0
97,Guyana,144.42
98,Guyana Amazon Warriors,145.46
99,Habib Bank Limited,139.4
100,Hambantota Troopers,142.67
101,Hampshire,159.47
102,Haryana,137.82
103,Himachal Pradesh,139.75
104,Hobart Hurricanes,167.68
105,Hong Kong,139.9
106,Hyderabad (India),154.17
107,Hyderabad Hawks,162.25
108,Hyderabad Region,175.0
109,India,153.13
110,India A,184.0
111,Ireland,134.51
112,Islamabad,138.0
113,Islamabad Leopards,138.0
114,Islamabad Region,161.0
115,Islamabad United,149.86
116,Italy,134.83
117,Jamaica,122.71
118,Jamaica Tallawahs,146.5
119,Jammu & Kashmir,128.0
120,Jersey,130.5
121,Jharkhand,131.24
122,Kandurata,134.5
123,Kandurata Maroons,132.0
124,Kandurata Warriors,153.0
125,Kandy Crusaders,156.0
126,Karachi Blues,160.33
127,Karachi Kings,154.5
128,Karachi Region Blues,171.33
129,Karachi Region Whites,173.0
130,Karachi Whites,158.33
131,Karachi Zebras,151.07
132,Karnataka,141.26
133,Kent,159.66
134,Kenya,140.36
135,Kerala,138.39
136,Khan Research Laboratories,131.67
137,Khan Research Labs,131.67
138,Khulna Division,156.75
139,Khulna Royal Bengals,158.67
140,Khulna Titans,141.57
141,Khyber Pakhtunkhwa,146.0
142,Kings XI Punjab,164.81
143,Knights,146.5
144,Kochi Tuskers Kerala,141.0
145,Kolkata Knight Riders,153.88
146,Kurunegala Warriors,143.5
147,Kurunegala Youth Cricket Club,148.0
