,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Net,Status
11,Color,Bryan Singer,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0.0,crystal|epic|lex luthor|lois lane|return to earth,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,2.35,0,-8930592.0,Negative
13,Color,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,2.35,5000,198032628.0,Positive
34,Color,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0.0,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,PG-13,210000000.0,2006.0,808.0,6.8,2.35,0,24360014.0,Positive
105,Color,Wolfgang Petersen,231.0,98.0,249.0,702.0,Mike Vogel,87000.0,60655503.0,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,82380,92456,Andre Braugher,0.0,cruise|escape|ocean|passenger|water,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629.0,English,USA,PG-13,160000000.0,2006.0,2000.0,5.6,2.35,0,-99344497.0,Negative
141,Color,J.J. Abrams,310.0,124.0,14000.0,979.0,Tom Cruise,22000.0,133382309.0,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,256695,34817,Eddie Marsan,0.0,arms dealer|fictional government agency|mission|rescue|vatican,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,871.0,English,USA,PG-13,150000000.0,2006.0,10000.0,6.9,2.35,0,-16617691.0,Negative
144,Color,David Bowers,135.0,85.0,42.0,586.0,Kate Winslet,20000.0,64459316.0,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,85086,35161,David Suchet,0.0,boat|frog|rat|sewer|toad,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,122.0,English,UK,PG,149000000.0,2006.0,14000.0,6.7,1.85,0,-84540684.0,Negative
208,Color,Ron Howard,294.0,174.0,2000.0,362.0,Seth Gabel,15000.0,217536138.0,Mystery|Thriller,Tom Hanks,The Da Vinci Code ,314253,16008,Jürgen Prochnow,2.0,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,1966.0,English,USA,PG-13,125000000.0,2006.0,574.0,6.6,2.35,0,92536138.0,Positive
250,Color,Shawn Levy,179.0,108.0,189.0,1000.0,Rami Malek,49000.0,250863268.0,Action|Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum ,234480,55486,Steve Coogan,2.0,chaos|museum|museum of natural history|night watchman|watchman,http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1,444.0,English,USA,PG,110000000.0,2006.0,3000.0,6.4,1.85,3000,140863268.0,Positive
286, Black and White,Martin Campbell,400.0,144.0,258.0,834.0,Tobias Menzies,6000.0,167007184.0,Action|Adventure|Thriller,Eva Green,Casino Royale ,470483,9125,Ivana Milicevic,1.0,casino|espionage|free running|james bond|terrorist,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,2301.0,English,UK,PG-13,150000000.0,2006.0,1000.0,8.0,2.35,0,17007184.0,Positive
301, Black and White,Stefen Fangmeier,170.0,104.0,14.0,203.0,Ed Speleers,3000.0,75030163.0,Action|Adventure|Family|Fantasy,Djimon Hounsou,Eragon ,108076,4487,Gary Lewis,0.0,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,http://www.imdb.com/title/tt0449010/?ref_=fn_tt_tt_1,1690.0,English,USA,PG,100000000.0,2006.0,762.0,5.1,2.35,0,-24969837.0,Negative
307,Color,Edward Zwick,166.0,143.0,380.0,452.0,Djimon Hounsou,29000.0,57366262.0,Adventure|Drama|Thriller,Leonardo DiCaprio,Blood Diamond ,400292,33160,Stephen Collins,0.0,diamond|elephant|fisherman|rebel|sierra leone,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,657.0,English,Germany,R,100000000.0,2006.0,3000.0,8.0,2.35,14000,-42633738.0,Negative
361,Color,Martin Scorsese,352.0,151.0,17000.0,1000.0,Matt Damon,29000.0,132373442.0,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,873649,45648,Ray Winstone,0.0,boston|mole|police|undercover|undercover cop,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,2054.0,English,USA,R,90000000.0,2006.0,13000.0,8.5,2.35,29000,42373442.0,Positive
397,Color,George Miller,206.0,108.0,750.0,971.0,Hugh Jackman,49000.0,197992827.0,Animation|Comedy|Family|Music|Romance,Robin Williams,Happy Feet ,132501,70996,Elizabeth Daily,0.0,dance|emperor penguin|friend|penguin|song,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,548.0,English,USA,PG,100000000.0,2006.0,20000.0,6.5,2.35,0,97992827.0,Positive
408,Color,Nancy Meyers,157.0,138.0,278.0,213.0,Rufus Sewell,14000.0,63224849.0,Comedy|Romance,Kate Winslet,The Holiday ,182757,17423,Sarah Parish,3.0,book|composer|house|love|self esteem,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,483.0,English,USA,PG-13,85000000.0,2006.0,3000.0,6.9,1.85,19000,-21775151.0,Negative
412,Color,Roger Allers,107.0,83.0,28.0,624.0,Debra Messing,4000.0,84303558.0,Adventure|Animation|Comedy|Family,Jon Favreau,Open Season ,65270,6081,Jane Krakowski,1.0,bear|deer|forest|grizzly bear|hunter,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,100.0,English,USA,PG,85000000.0,2006.0,650.0,6.2,1.85,863,-696442.0,Negative
418,Color,Justin Lin,158.0,104.0,681.0,159.0,Zachery Ty Bryan,584.0,62494975.0,Action|Crime|Thriller,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,179500,1235,Nikki Griffin,5.0,car|challenge|drift racing|drifting|tokyo japan,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,378.0,English,USA,PG-13,85000000.0,2006.0,227.0,6.0,2.35,0,-22505025.0,Negative
429,Color,Frank Coraci,173.0,107.0,153.0,233.0,Cameron Monaghan,11000.0,137340146.0,Comedy|Drama|Fantasy|Romance,Adam Sandler,Click ,246492,12700,Julie Kavner,1.0,architect|frozen time|obese man|remote control|stopped time,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,685.0,English,USA,PG-13,70000000.0,2006.0,1000.0,6.4,1.85,7000,67340146.0,Positive
442,Color,Tim Johnson,166.0,83.0,12.0,925.0,Steve Carell,13000.0,155019340.0,Adventure|Animation|Comedy|Family,Bruce Willis,Over the Hedge ,127345,22813,Catherine O'Hara,1.0,bear|food|forest|raccoon|turtle,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,250.0,English,USA,PG,80000000.0,2006.0,7000.0,6.8,1.85,0,75019340.0,Positive
467,Color,Shawn Levy,147.0,93.0,189.0,38.0,Henry Czerny,1000.0,82226474.0,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,The Pink Panther ,65499,1267,William Abadie,0.0,diamond|france|investigation|pink panther|soccer,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,424.0,English,USA,PG,65000000.0,2006.0,177.0,5.6,1.85,0,17226474.0,Positive
