Word,Rank,Frequency
enron,1,1807
i,2,1412
ect,3,730
to,4,663
's,5,654
please,6,606
subject,7,585
the,8,585
lay,9,584
communications,10,576
would,11,563
ken,12,552
enron.com,13,533
cc,14,494
meeting,15,439
energy,16,410
enron_development,17,398
we,18,376
pm,19,353
http,20,351
mr.,21,326
rosalee,22,322
e-mail,23,313
ees,24,294
know,25,292
new,26,275
may,27,274
information,28,264
time,29,257
kenneth,30,255
call,31,254
thanks,32,242
enronxgate,33,240
like,34,238
us,35,237
am,36,233
business,37,225
if,38,223
conference,39,220
board,40,209
one,41,201
this,42,201
let,43,198
also,44,194
thank,45,191
kenneth.lay,46,190
mark,47,189
could,48,182
company,49,182
attend,50,181
