Word,Rank,Frequency
sara,1,10511
i,2,10131
ect,3,8663
enron,4,7829
subject,5,5877
to,6,5792
cc,7,4819
please,8,4442
pm,9,4358
shackleton/hou/ect,10,3802
enron.com,11,3745
shackleton,12,3584
am,13,3491
agreement,14,3023
thanks,15,2983
's,16,2807
corp.,17,2678
fax,18,2630
isda,19,2613
forwarded,20,2609
houston,21,2490
sara.shackleton,22,2294
message,23,2275
the,24,2252
would,25,2138
america,26,2103
enron_development,27,2030
north,28,2029
know,29,2026
sent,30,1997
smith,31,1975
street,32,1950
from,33,1943
phone,34,1943
credit,35,1923
re,36,1854
we,37,1746
attached,38,1717
let,39,1694
texas,40,1675
need,41,1521
ena,42,1506
eb,43,1502
call,44,1498
master,45,1450
may,46,1433
3801a,47,1419
if,48,1363
way,49,1218
-original,50,1198
