Word,Rank,Frequency
Job Market,1,101
Real Estate,2,1217
Paid Death Notices,3,4318
Your Money,4,342
membercenter,5,3
N.Y. / Region,6,4183
World,7,6874
T Magazine,8,1671
Books,9,1860
Blogs,10,529
U.S.,11,7698
Health,12,971
Well,13,280
Today’s Paper,14,283
Style,15,201
Automobiles,16,110
Times Topics,17,10
Sports,18,6154
Books; Arts,19,7
Magazine,20,849
The Upshot,21,726
Science,22,907
Multimedia,23,1
Opinion,24,6793
Obituaries,25,95
Business Day,26,5011
Fashion & Style,27,3697
Podcasts,28,60
Arts,29,5706
Universal,30,165
Giving,31,11
Travel,32,827
The Learning Network,33,334
Corrections,34,398
Sunday Review,35,28
Food,36,1207
Education,37,681
Multimedia/Photos,38,336
Great Homes & Destinations,39,2
Crosswords & Games,40,505
International Home,41,3
Afternoon Update,42,2
Briefing,43,302
Watching,44,58
Times Insider,45,434
Movies,46,1630
NYT Now,47,652
Technology,48,1328
Theater,49,1020
Public Editor,50,43
Admin,51,3
