Word,Rank,Frequency
Opinion,1,2405
Today’s Paper,2,43
World,3,3067
NYT Now,4,339
Your Money,5,112
Technology,6,501
Obituaries,7,8
Theater,8,286
Style,9,76
T Magazine,10,813
Universal,11,112
The Upshot,12,285
Sunday Review,13,24
Times Insider,14,113
Crosswords & Games,15,137
Multimedia,16,6
Science,17,321
Learning,18,2
Great Homes & Destinations,19,27
Magazine,20,308
Blogs,21,254
Fashion & Style,22,1389
Public Editor,23,8
Crosswords/Games,24,3
Automobiles,25,36
Sports,26,3131
Movies,27,584
N.Y. / Region,28,1721
Corrections,29,181
Job Market,30,26
Travel,31,349
Education,32,311
Giving,33,13
Books,34,628
U.S.,35,3301
Home & Garden,36,12
Food,37,321
Times Topics,38,15
Real Estate,39,427
Health,40,355
Multimedia/Photos,41,187
Business Day,42,2227
Arts,43,2330
